itemcode,etfTabCode,itemname,nowVal,risefall,changeVal,changeRate,nav,threeMonthEarnRate,quant,amonut,marketSum
411420,4,KODEX 미국메타버스나스닥액티브,6920,2,180,2.67,6899.0,-21.8551,2869,19,1183
273140,6,KODEX 단기변동금리부채권액티브,103520,3,0,0.0,103521.0,0.3489,26,2,1147
278240,3,KBSTAR 코스닥150선물레버리지,10945,2,170,1.58,10998.0,-2.6209,8697,96,1119
385560,6,KBSTAR KIS국고채30년Enhanced,77160,5,-1785,-2.26,76901.0,-10.7129,831,64,1080
417630,2,TIGER KEDI혁신기업ESG30,9590,2,50,0.52,9611.0,-4.4567,14199,136,1079
252710,3,TIGER 200선물인버스2X,2805,5,-15,-0.53,2807.0,10.8055,3853139,10733,1072
367760,2,KBSTAR Fn5G테크,9585,2,30,0.31,9594.0,0.3044,434,4,1054
400570,4,KODEX 유럽탄소배출권선물ICE(H),13955,5,-45,-0.32,14018.0,-3.2147,5245,73,1054
395170,2,KODEX Fn Top10동일가중,7700,2,30,0.39,7708.0,-3.1322,80,0,1032
363570,6,KODEX 장기종합채권(AA-이상)액티브KAP,87680,5,-610,-0.69,87486.0,-3.9282,10,0,1025
363510,6,SOL KIS단기통안채,100925,3,0,0.0,100925.0,0.2333,2,0,1018
365780,6,KINDEX 국고채10년,87990,5,-670,-0.76,87991.0,-2.966,92,8,998
139220,2,TIGER 200 건설,2865,2,10,0.35,2870.0,3.1803,10098,28,969
395750,2,ARIRANG ESG가치주액티브,8445,2,35,0.42,8439.0,-4.0502,24,0,967
423920,4,TIGER 미국필라델피아반도체레버리지(합성),10160,2,605,6.33,10114.0,,29783,302,963
245340,4,TIGER 미국다우존스30,20650,2,105,0.51,20615.0,-2.0781,2043,42,950
245360,4,TIGER 차이나HSCEI,9160,2,150,1.66,9027.0,-17.6417,803,7,943
267770,3,TIGER 200선물레버리지,13795,2,75,0.55,13792.0,-12.192,71183,988,924
282000,3,KBSTAR 국고채3년선물인버스,103685,2,530,0.51,103696.0,1.058,1,0,920
204480,4,TIGER 차이나CSI300레버리지(합성),21530,2,180,0.84,21487.0,-26.8711,1293,27,917
277630,1,TIGER 코스피,26940,2,225,0.84,26897.0,-4.9661,28,0,916
283580,4,KODEX 차이나CSI300,12110,2,15,0.12,12050.0,-12.6715,705,8,896
261240,7,KODEX 미국달러선물,11295,5,-55,-0.48,11296.0,7.0249,40324,454,888
322400,2,HANARO e커머스,15005,2,25,0.17,15038.0,-4.6103,34,0,870
304940,4,KODEX 미국나스닥100선물(H),15775,2,445,2.9,15700.0,-16.9556,18165,286,868
305080,6,TIGER 미국채10년선물,11815,5,-100,-0.84,11813.0,1.3611,5050,59,862
176950,6,KODEX 국채선물10년인버스,51800,2,450,0.88,51804.0,3.216,3,0,842
337160,2,KODEX 200ESG,12815,3,0,0.0,12875.0,-5.3266,0,0,833
325010,2,KODEX Fn성장,14445,2,115,0.8,14447.0,-7.3931,1,0,823
144600,5,KODEX 은선물(H),4300,2,75,1.78,4305.0,-9.9148,55511,239,817
272560,6,KBSTAR 단기국공채액티브,102530,5,-45,-0.04,102530.0,0.166,1,0,813
363580,2,KODEX 200IT TR,11945,2,120,1.01,11916.0,-9.1084,16,0,800
364970,2,TIGER KRX바이오K-뉴딜,6405,2,60,0.95,6424.0,-7.1011,122334,782,794
139280,2,TIGER 경기방어,9650,2,35,0.36,9652.0,-0.7023,569,5,784
139230,2,TIGER 200 중공업,3045,5,-10,-0.33,3053.0,7.4947,148006,450,776
117700,2,KODEX 건설,3155,2,5,0.16,3164.0,0.9291,45550,144,764
298340,6,ARIRANG 국채선물3년,52035,5,-190,-0.36,51989.0,-0.7319,2,0,762
414270,4,KINDEX G2전기차&자율주행액티브,8545,2,200,2.4,8651.0,,20025,171,761
411540,1,SOL 200 Top10,8420,2,90,1.08,8402.0,-6.1409,33,0,724
157490,2,TIGER 소프트웨어,11630,2,85,0.74,11650.0,-15.4646,3038,35,721
228790,2,TIGER 화장품,2655,2,25,0.95,2658.0,-3.4863,126353,335,721
298770,4,KODEX 한국대만IT프리미어,17925,2,110,0.62,17838.0,-13.4565,1447,25,699
195980,4,ARIRANG 신흥국MSCI(합성 H),9505,2,50,0.53,9498.0,-20.0423,479,4,696
225040,4,TIGER 미국S&P500레버리지(합성 H),26300,2,850,3.34,26302.0,-23.2046,3507,92,694
419430,4,KODEX 차이나2차전지MSCI(합성),8895,2,50,0.57,8867.0,,791,7,694
266160,2,KBSTAR 고배당,12185,2,10,0.08,12191.0,-3.4114,816,9,688
385520,2,KODEX K-미래차액티브,10335,2,30,0.29,10384.0,2.793,938,9,687
390390,4,KODEX 미국반도체MV,10125,2,285,2.9,10120.0,-13.3803,3144,31,678
388280,2,KBSTAR Fn컨택트대표,8875,2,105,1.2,8876.0,-3.1475,1146,10,669
195930,4,TIGER 유로스탁스50(합성 H),12805,2,340,2.73,12802.0,-11.9082,265,3,666
